name,cls,n,flag,cat,ean,jan,isbn,pref
NSW,C_英数字のみ,1,大手/海外疑い,ゲーム,1,True,False,457
日経BP,B_和名(法人格なし),1,中小候補,本,1,False,True,978
Kitty Media,C_英数字のみ,1,中小候補,DVD,1,False,False,063
Magrathea Publishing,C_英数字のみ,1,中小候補,洋書,1,False,True,978
ピープル,B_和名(法人格なし),1,中小候補,おもちゃ,1,True,False,497
Sweet Cherry Publishing,C_英数字のみ,1,中小候補,洋書,1,False,True,978
Arrow Video,C_英数字のみ,1,中小候補,ホーム＆キッチン,1,False,False,502
P&S Detailing Products,C_英数字のみ,1,中小候補,車＆バイク,1,False,False,076
昭文社,B_和名(法人格なし),1,中小候補,本,1,False,True,978
スズキ機工(Suzuki Kikoh),B_和名(法人格なし),1,中小候補,車＆バイク,0,False,False,
日経BP 日本経済新聞出版本部,B_和名(法人格なし),1,中小候補,本,1,False,True,978
コミネ(KOMINE),B_和名(法人格なし),1,中小候補,産業・研究開発用品,1,True,False,458
Public Publishing,C_英数字のみ,1,中小候補,洋書,1,False,True,978
ジャニーズ・エンタテイメント,B_和名(法人格なし),1,中小候補,DVD,2,True,False,453
SAMSUNG,C_英数字のみ,1,中小候補,パソコン・周辺機器,1,False,False,088
美和ロック(Miwalock),B_和名(法人格なし),1,中小候補,DIY・工具・ガーデン,0,False,False,
Kurilon,C_英数字のみ,1,中小候補,ベビー＆マタニティ,1,True,False,456
Baby Shusher,C_英数字のみ,1,中小候補,ベビー＆マタニティ,4,False,False,060
EveryDrop by Whirlpool,C_英数字のみ,1,中小候補,大型家電,1,False,False,088
Workman Publishing,C_英数字のみ,1,中小候補,洋書,1,False,True,978
Authors Equity,C_英数字のみ,1,中小候補,洋書,1,False,True,979
StarTech.com(スターテック),B_和名(法人格なし),1,中小候補,パソコン・周辺機器,1,False,False,006
HiGrace,C_英数字のみ,1,中小候補,パソコン・周辺機器,1,False,False,076
ACKDZU,C_英数字のみ,1,中小候補,DVD,1,False,False,004
Perfection Learning,C_英数字のみ,1,中小候補,洋書,1,False,True,978
Revive Classics,C_英数字のみ,1,中小候補,洋書,1,False,True,978
新書館,B_和名(法人格なし),1,中小候補,本,1,False,True,978
WSS Playground,C_英数字のみ,1,中小候補,ゲーム,1,True,False,496
Leatherwood Bespoke Rosin 社,B_和名(法人格なし),1,中小候補,楽器・音響機器,0,False,False,
SMM ITAKU (MUSIC),C_英数字のみ,1,中小候補,ミュージック,1,True,False,456
MITSUBA(ミツバサンコーワ),B_和名(法人格なし),1,中小候補,車＆バイク,2,True,False,458
日本一ソフトウェア,B_和名(法人格なし),1,中小候補,ゲーム,1,True,False,499
Rough Trade,C_英数字のみ,1,中小候補,ミュージック,2,False,False,050
中央経済社,B_和名(法人格なし),1,中小候補,本,1,False,True,978
TABWEE,C_英数字のみ,1,中小候補,パソコン・周辺機器,1,False,False,081
KORG(コルグ),B_和名(法人格なし),1,中小候補,楽器・音響機器,3,True,False,019
Scuf,C_英数字のみ,1,中小候補,ゲーム,1,False,False,085
ARZOPA,C_英数字のみ,1,中小候補,パソコン・周辺機器,1,False,False,079
EDISONmama(エジソンママ),B_和名(法人格なし),1,中小候補,ベビー＆マタニティ,1,True,False,454
phiten(ファイテン),B_和名(法人格なし),1,中小候補,スポーツ＆アウトドア,1,True,False,494
Ergobaby(エルゴベビー),B_和名(法人格なし),1,中小候補,ベビー＆マタニティ,1,False,False,019
