| 前提（タケシの 01_calc・n=6000） | P(実質現金>0) | 実質 中央 | P(累計損益>0) |
|---|---:|---:|---:|
| 置き値のまま（案C＋月10停止） | 74% | +17万 | 81% |
| SD会費0円 | 77% | +20万 | 84% |
| 定常月商 50→25万 | 64% | +9万 | 74% |
| ゲートなし 10%固定 | 63% | +8万 | 73% |
| 利益率 9→6% | 65% | +9万 | 73% |
| 続かない 70% | 70% | +13万 | 78% |
| 事故 せどり上乗せ20% | 70% | +15万 | 79% |
| 25万＋続かない70%＋利益率6% | 56% | +3万 | 66% |
| 25万＋ゲート10% | 55% | +3万 | 66% |
| 参考 案B＋月10停止 | 59% | +5万 | 70% |
| 参考 案A＋月10停止 | 50% | +0.0万 | 60% |
