# 01_mc_sendcap 出力（n=1500）

| 案・条件 | P(実質現金>0) | 実質現金 P20／中央／P80 | P10 | P(累計損益>0)（中央） | 日次最低現金 P10 | 予備25万割れ | 月9の月商 中央 | せどり停止 |
|---|---:|---|---:|---|---:|---:|---:|---:|
| A 送信の母数 900社 | 37% | -15万／-5万／+12万 | -18万 | 50%（-0.2万） | 107万 | 0% | 32万 | 0% |
| A 送信の母数 400社 | 37% | -15万／-5万／+12万 | -18万 | 50%（-0.2万） | 107万 | 0% | 32万 | 0% |
| B 送信の母数 900社 | 45% | -14万／-2万／+19万 | -18万 | 60%（+4万） | 85万 | 0% | 42万 | 0% |
| B 送信の母数 400社 | 45% | -14万／-2万／+19万 | -18万 | 59%（+4万） | 85万 | 0% | 42万 | 0% |
| B_best 送信の母数 900社 | 51% | -10万／+0.3万／+20万 | -14万 | 54%（+2万） | 133万 | 0% | 36万 | 0% |
| B_best 送信の母数 400社 | 51% | -10万／+1万／+20万 | -14万 | 54%（+2万） | 133万 | 0% | 37万 | 0% |
| C_best 送信の母数 900社 | 58% | -8万／+3万／+22万 | -12万 | 61%（+5万） | 139万 | 0% | 37万 | 49% |
| C_best 送信の母数 400社 | 58% | -8万／+3万／+22万 | -12万 | 61%（+5万） | 139万 | 0% | 38万 | 49% |
