段,件数
"S0 母数（NETSEA 26,942 JAN）",26942
S1 Amazon に同一JANの ASIN があり売値がある,18585
S2 Amazon 本体が出品していない,9013
S3 入数が解けて要確認なし（利益を計算できる）,7576
"S4 G4 単価 2,000〜5,000円",2477
S5 G3 利益率20%・利益額500円（大口・広告10%込み）,67
S6 G3 FBA配送代行 ≤ 利益の25%,10
"S7a 回転 ≤ 6ヶ月（ロット=max(最小ロット,10)÷取り分）",0
S7b 取り分 ≥ 月6個,0
S7c 回転 月2回（0.5ヶ月）,0
S8 G2 出品者 ≤3（S7b 通過のうち）,0
参考: S6 通過のうち T-20260906-003 回転検証＝通過,0
参考: S6 通過のうち 30日ドロップ ≥ 3,0
