項目,件数
母数(①ローカル通過),9219
検証済み,7500
ⓠ①通過,7228
最終通過,3309
落ちた理由: ②カート最終獲得が古い,3223
落ちた理由: ③カート不在の割合が高い,696
落ちた理由: ①回転指標不足,149
落ちた理由: ⓪観測回数不足,74
