メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
Hobbywing,5,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります / ホビーマンズ / 通販ショップの駿河屋,4,4,2036,B0816Q6JY9,【国内正規品】HOBBYWING QuicRUN-WP-1060-Brushed BEC内蔵 1/10用,https://www.amazon.co.jp/dp/B0816Q6JY9,https://www.google.com/search?q=Hobbywing%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ファイナル(final),5,家電＆カメラ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,KURO STORE （適格請求書発行事業者） / 東方Merchant,2,2,4946,B0DPK8XT5F,【final公式ストア限定】ag (エージー) COTSUBU for ASMR MK2 自分がダミーヘッドになったよう,https://www.amazon.co.jp/dp/B0DPK8XT5F,https://www.google.com/search?q=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%8A%E3%83%AB%28final%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
BabySmile,4,ベビー＆マタニティ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／日本法人格,なし,"Hariti(ハーリティー) / 【公式】トイザらス・ベビーザらス Toys""R""Us Japan",2,3,4140,B0CQJMR3PY,ベビースマイル ベビーアラーム E-202 ベビーテックアワード2024大賞受賞商品 ベビーセンサー 赤ちゃん 見守り ,https://www.amazon.co.jp/dp/B0CQJMR3PY,https://www.google.com/search?q=BabySmile%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ピュアクリスタル,4,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,syuka東京本店 / 183ストア / 生活雑貨shop,4,5,482,B0BW7YQJZ1,ジェックス ピュアクリスタル ミューティー 猫用 950mL ムーングレー フィルター式給水器 USB電源 静音 フィル,https://www.amazon.co.jp/dp/B0BW7YQJZ1,https://www.google.com/search?q=%E3%83%94%E3%83%A5%E3%82%A2%E3%82%AF%E3%83%AA%E3%82%B9%E3%82%BF%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
詰め替えそのまま,4,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,ゆるり生活商店,1,2,884,B0BNN4M6C2,詰め替えそのまま MSPS-4W ミニ＆スタンダード スターターセット シャンプーボトル ホワイト,https://www.amazon.co.jp/dp/B0BNN4M6C2,https://www.google.com/search?q=%E8%A9%B0%E3%82%81%E6%9B%BF%E3%81%88%E3%81%9D%E3%81%AE%E3%81%BE%E3%81%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
イースター株式会社,3,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,（最速配達）SKworks / ペットショップ　ファイブワン / 日用品生活ショップ,5,6,156,B0FBQJ2WKB,バニーセレクションプロ メンテナンス グルテンフリー ボディウェイトケア 900g,https://www.amazon.co.jp/dp/B0FBQJ2WKB,https://www.google.com/search?q=%E3%82%A4%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
オスモカラー,3,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,ペンキのササキ / エムケーケー※ご購入前に期限（コンディション欄に記載）をご確認ください / 木の香ショップ,4,6,2699,B08XX31CCC,オスモカラー オスモ&エーデル カウンタートップオイル 0.5L #3046 5分ツヤ,https://www.amazon.co.jp/dp/B08XX31CCC,https://www.google.com/search?q=%E3%82%AA%E3%82%B9%E3%83%A2%E3%82%AB%E3%83%A9%E3%83%BC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
コムテック(COMTEC),3,車＆バイク,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,カー用品の専門店 e-なび屋 / car電倶楽部 / リコメン堂,3,4,7873,B097TLQGCL,コムテック 車用 ドライブレコーダー 1カメラタイプ HDR204G 200万画素 Full HD 広角168° mic,https://www.amazon.co.jp/dp/B097TLQGCL,https://www.google.com/search?q=%E3%82%B3%E3%83%A0%E3%83%86%E3%83%83%E3%82%AF%28COMTEC%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
タカギ(Takagi),3,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,プライムウェブストア / RCSストア / KSカスタムショップ,4,4,1113,B071HRHPRD,浄水器用カートリッジ 高除去性能タイプ JC0036UG,https://www.amazon.co.jp/dp/B071HRHPRD,https://www.google.com/search?q=%E3%82%BF%E3%82%AB%E3%82%AE%28Takagi%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ピープル,3,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ニキーズホーム / スモクロ（インボイス登録済み店） / AＪＹショップ,5,5,1930,B0843ZP3SS,ピタゴラスBASIC 知育いっぱい! どうぶつえん [1歳半] から 25個 遊べる つくれる ひらめきが育つ,https://www.amazon.co.jp/dp/B0843ZP3SS,https://www.google.com/search?q=%E3%83%94%E3%83%BC%E3%83%97%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
