メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
アイリスオーヤマ(IRIS OHYAMA),4,DIY・工具・ガーデン,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ECカレント / イーベスト家電 / 特価COM,5,5,748,B07RW6FNZQ,アイリスオーヤマ 脱臭くつ乾燥機 カラリエ KSD-C2 ブルー,https://www.amazon.co.jp/dp/B07RW6FNZQ,https://www.google.com/search?q=%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E%28IRIS%20OHYAMA%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
シー・エフ・デー販売,4,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,サンクトエブリ(迅速かつ丁寧な対応を心がけて) / パソコン工房 / きりん本舗大阪本店【インボイス対応】,5,6,8728,B0DQCC4CTB,リアルテック SSD 外付け 500GB スティック型 読込最大 450MB/秒 PS5/PS4対応(メーカー動作確認済,https://www.amazon.co.jp/dp/B0DQCC4CTB,https://www.google.com/search?q=%E3%82%B7%E3%83%BC%E3%83%BB%E3%82%A8%E3%83%95%E3%83%BB%E3%83%87%E3%83%BC%E8%B2%A9%E5%A3%B2%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
本間ゴルフ,4,スポーツ＆アウトドア,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ジーパーズ（JYPER'S） / 久四郎商店 / アマナヤショップ,6,6,876,B0CL4V4THT,2023 SPEED MONSTER BT2302,https://www.amazon.co.jp/dp/B0CL4V4THT,https://www.google.com/search?q=%E6%9C%AC%E9%96%93%E3%82%B4%E3%83%AB%E3%83%95%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
DUNLOP,3,スポーツ＆アウトドア,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49,なし,ショップハッピー / ヒロセ ネットショップ / みる商店,4,5,1074,B0CNJYGPCW,ダンロップゴルフボール SRIXON TRI-STAR4 2024年モデル 1ダース(12個入り) ホワイト,https://www.amazon.co.jp/dp/B0CNJYGPCW,https://www.google.com/search?q=DUNLOP%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Eufy (ユーフィ),3,ホーム＆キッチン,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語,なし,【インボイス対応】フローレッド / COZY☆安心ストア,2,3,1796,B0BG5FJ33T,Anker Eufy (ユーフィ) Smart Scale P2 Pro ブラック,https://www.amazon.co.jp/dp/B0BG5FJ33T,https://www.google.com/search?q=Eufy%20%28%E3%83%A6%E3%83%BC%E3%83%95%E3%82%A3%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
JBL,3,家電＆カメラ,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49,なし,COZY☆安心ストア,1,2,8703,B0D6VHFP4H,JBL LIVE BUDS 3 スマートタッチディスプレイ搭載 ワイヤレスイヤホン ハイレゾワイヤレス対応 ノイズキャン,https://www.amazon.co.jp/dp/B0D6VHFP4H,https://www.google.com/search?q=JBL%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Logicool G(ロジクール G),3,家電＆カメラ,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,竹ドットCOM (適格請求書発行事業者)古物商許可埼玉県公安委員会第４３１３９００５４２８８号 / 良品 shop / タクティクス商店【インボイス登録事業者】,5,6,7665,B07SR8LZ12,Logicool G ASTRO Gaming MixAmp Pro ミックスアンプ ゲーミングアンプ MAPTR-00,https://www.amazon.co.jp/dp/B07SR8LZ12,https://www.google.com/search?q=Logicool%20G%28%E3%83%AD%E3%82%B8%E3%82%AF%E3%83%BC%E3%83%AB%20G%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
NEW ERA(ニューエラ),3,ファッション,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語,なし,GROSS(株式会社グローイング) / ユニワーク / daisy ミトマン有限会社,3,4,1876,B0GJCX4BZS,New Era メッシュキャップ メンズ キャップ サイドロゴ 無地 帽子 9FORTY NewEra NE205 ベー,https://www.amazon.co.jp/dp/B0GJCX4BZS,https://www.google.com/search?q=NEW%20ERA%28%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A8%E3%83%A9%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
NIKE(ナイキ),3,ファッション,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語,なし,【ｺﾝﾃﾞｨｼｮﾝ要確認】ロコ商店 / 大福屋 本店 / モンド電機,3,3,1271,B08FDJWKYD,NIKE SPORTSWEAR WOVEN SHORTS ナイキ ウーブン ショートパンツ ショーツ 短パン ブラック ,https://www.amazon.co.jp/dp/B08FDJWKYD,https://www.google.com/search?q=NIKE%28%E3%83%8A%E3%82%A4%E3%82%AD%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
TANITA,3,ホーム＆キッチン,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49,なし,セカンドオンラインストア / マーマレードガール / web shop Solitude【インボイス対応 適格請求書発行事業者】,5,6,1159,B0052BPUCA,TANITA 【乗るとスイッチが入るステップオンタイプ】 デジタルヘルスメーター ホワイト HD-661-WH,https://www.amazon.co.jp/dp/B0052BPUCA,https://www.google.com/search?q=TANITA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
シーゲイト(SEAGATE),3,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,パソコンライフ / ターゲットジャパン,2,3,6429,B01M04WP2B,"Seagate BarraCuda 3.5"" 1TB 内蔵ハードディスク HDD 2年保証 6Gb/s 64MB 720",https://www.amazon.co.jp/dp/B01M04WP2B,https://www.google.com/search?q=%E3%82%B7%E3%83%BC%E3%82%B2%E3%82%A4%E3%83%88%28SEAGATE%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ホンダ(Honda),3,車＆バイク,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,花ゆ美ストア / パーツオンライン / パーツダイレクト,3,5,412,B0F4D733CT,ProHonda RACING SL MA 0W30 1L,https://www.amazon.co.jp/dp/B0F4D733CT,https://www.google.com/search?q=%E3%83%9B%E3%83%B3%E3%83%80%28Honda%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
マテル(MATTEL),3,おもちゃ,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語,なし,仁佑社 / ぬこぬこ商店 / ぷーーーーちゃん（インボイス登録事業者）,3,5,1313,B0CVR9467T,マテル アナと雪の女王(Disney Frozen) アナ(うたってたのしい! ドール) 生まれてはじめて を 30秒間,https://www.amazon.co.jp/dp/B0CVR9467T,https://www.google.com/search?q=%E3%83%9E%E3%83%86%E3%83%AB%28MATTEL%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
日立(HITACHI),3,大型家電,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ECカレント / イーベスト家電 / 特価COM,4,8,3579,B001DBLWNE,日立 全自動専用設置台HITACHI （洗濯乾燥機・全自動洗濯機用） UP-D3,https://www.amazon.co.jp/dp/B001DBLWNE,https://www.google.com/search?q=%E6%97%A5%E7%AB%8B%28HITACHI%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
東芝(TOSHIBA),3,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,オンラインショップAMR / オープン家電本舗 / 月光堂(すり替え対策実施店舗）株式会社E-LINK,4,6,5032,B07SKSVB84,東芝 Canvio 1TB USB3.2(Gen1)対応 ポータブルHDD PC/TV対応 バッファローサポート 国内メ,https://www.amazon.co.jp/dp/B07SKSVB84,https://www.google.com/search?q=%E6%9D%B1%E8%8A%9D%28TOSHIBA%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Audio Technica(オーディオテクニカ),2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,ECカレント / イーベスト家電 / 特価COM,6,6,4092,B09G5PR2F2,オーディオテクニカ ATH-GDL3 ゲーミングヘッドセット/開放型/PC/PS4/PS5/Switch/Xbox On,https://www.amazon.co.jp/dp/B09G5PR2F2,https://www.google.com/search?q=Audio%20Technica%28%E3%82%AA%E3%83%BC%E3%83%87%E3%82%A3%E3%82%AA%E3%83%86%E3%82%AF%E3%83%8B%E3%82%AB%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
CITIZEN,2,スポーツ＆アウトドア,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語,なし,やるＣＡＮ / 薬のファインズファルマ,2,3,453,B002TOKEJM,シチズン歩数計 TW310-RD,https://www.amazon.co.jp/dp/B002TOKEJM,https://www.google.com/search?q=CITIZEN%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Fender(フェンダー),2,楽器・音響機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語,なし,和Style Japan / Iba shop（輸入品専門店）,2,3,1888,B0CHBG6N1H,FENDERグリップハンドとフィンガーエクササイザー。ギタリスト、ベーシスト、バイオリニスト用。,https://www.amazon.co.jp/dp/B0CHBG6N1H,https://www.google.com/search?q=Fender%28%E3%83%95%E3%82%A7%E3%83%B3%E3%83%80%E3%83%BC%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
HOKA,2,ファッション,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,manufacturer日本語,なし,good days(適格請求書発行事業者) / そらみ堂 / 合同会社けいつか,4,5,9318,B0DN3SYLN4,HOKA ONE ONE(ホカ オネオネ) M CLIFTON 10 BLACK / GOLD 28.0CM,https://www.amazon.co.jp/dp/B0DN3SYLN4,https://www.google.com/search?q=HOKA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Jabra(ジャブラ),2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語,なし,EcCrew(ｲｰｼｰｸﾙｰ)【適格請求書発行事業者】 / BUNBUN SHOP【メーカー正規代理店/適格請求事業者】 / アイジーエヌ●全商品抜き取り・すり替え対策店●,4,5,11038,B0BWKFSTL5,Jabra Speak2 40[国内正規品] 会議用マイクスピーカー 最新ノイズキャンセリング機能 MS Teams/Z,https://www.amazon.co.jp/dp/B0BWKFSTL5,https://www.google.com/search?q=Jabra%28%E3%82%B8%E3%83%A3%E3%83%96%E3%83%A9%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Laundrin'(ランドリン),2,車＆バイク,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,アキソラ商店 / DNSK商店【インボイス対応 適格請求書発行事業者】 / TAKAshop【インボイス登録事業者】,4,6,315,B0CFF1MQQS,Laundrin'(ランドリン) Laundrin 車用フレグランス クラシックフローラル 本体4個入り,https://www.amazon.co.jp/dp/B0CFF1MQQS,https://www.google.com/search?q=Laundrin%27%28%E3%83%A9%E3%83%B3%E3%83%89%E3%83%AA%E3%83%B3%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
MIKIHOUSE(ミキハウス),2,ベビー＆マタニティ,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,Eすたいる / ninnananna(7000円以上お買い上げで送料無料) / I　りんく,5,5,7859,B0F388M7PW,MiKiHOUSE ミキハウス ファースト ベビー キャリア 抱っこひも おんぶ紐 新生児から使える 赤ちゃん ベビー用,https://www.amazon.co.jp/dp/B0F388M7PW,https://www.google.com/search?q=MIKIHOUSE%28%E3%83%9F%E3%82%AD%E3%83%8F%E3%82%A6%E3%82%B9%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
NEC,2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語,なし,FREEFU合同会社 / JPHオンライン / 月光堂(すり替え対策実施店舗）株式会社E-LINK,6,6,5969,B07X1NX5NJ,NECプラットフォームズ Aterm Wi-Fi モバイルルーター tri band MP02LN SW メタリックシル,https://www.amazon.co.jp/dp/B07X1NX5NJ,https://www.google.com/search?q=NEC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Omron,2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49,なし,東証上場の安心SHOP 見てね価格AZ店（インボイス登録番号：T7210001004022） / RADICAL (インボイス対応/適格事業者) / 商材館:アマゾン店※【適格請求書発行事業者】,5,5,8738,B079J8RD4D,オムロン 無停電電源装置(常時商用給電/正弦波出力) 400VA/250W BW40T,https://www.amazon.co.jp/dp/B079J8RD4D,https://www.google.com/search?q=Omron%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
SHOKZ,2,家電＆カメラ,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49,なし,ストライク【適格請求書発行事業者】,1,2,13404,B0DW3RWMNM,Shokz OpenDots ONE イヤーカフ型オープンイヤーイヤホン ワイヤレス bluetooth 左右の区別なし,https://www.amazon.co.jp/dp/B0DW3RWMNM,https://www.google.com/search?q=SHOKZ%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
SP Silicon Power,2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,manufacturer日本語,なし,SP ONLINE . jp【インボイス対応/ 適格請求書発行事業者】 / クイックマルシェ【公式】,2,3,4898,B07M5CRHSC,シリコンパワー SSD M.2 2280 3D TLC NAND採用 512GB SATA III 6Gbps 3年保証,https://www.amazon.co.jp/dp/B07M5CRHSC,https://www.google.com/search?q=SP%20Silicon%20Power%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
asics(アシックス),2,ファッション,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,【迅速発送！】ポレポレ本舗 / ファーストレグ / Tactオンラインショップ,4,6,9914,B0G6CL9K8B,[アシックス] ワーキング 安全靴 作業靴 ウィンジョブ CP209 BOA JSAA A種先芯 耐滑ソール fuzeG,https://www.amazon.co.jp/dp/B0G6CL9K8B,https://www.google.com/search?q=asics%28%E3%82%A2%E3%82%B7%E3%83%83%E3%82%AF%E3%82%B9%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
エプソン,2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ハヤブサ本舗1号店【すり替え防止対策店】,1,4,5654,B00S9AOCHK,エプソン スキャナー GT-S650 (フラットベッド/A4/4800dpi),https://www.amazon.co.jp/dp/B00S9AOCHK,https://www.google.com/search?q=%E3%82%A8%E3%83%97%E3%82%BD%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
カワサキ(Kawasaki),2,車＆バイク,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,モトキチ / スリーショップオンラインストア,2,2,1847,B007R7FACC,カワサキ 純正(KAWASAKI) エンジンオイル R4 SJ10W-40 4L缶,https://www.amazon.co.jp/dp/B007R7FACC,https://www.google.com/search?q=%E3%82%AB%E3%83%AF%E3%82%B5%E3%82%AD%28Kawasaki%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
キヤノン,2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ワイズ北海道 eストア【適格請求書発行事業者登録済】 / officeネット,2,4,4809,B00BLC1P7I,キヤノン 純正インク インクタンク BCI-351XL+350XL/6MP（大容量・6色セット）,https://www.amazon.co.jp/dp/B00BLC1P7I,https://www.google.com/search?q=%E3%82%AD%E3%83%A4%E3%83%8E%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
シャープ(SHARP),2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,ランクアップ合同会社 / アウトレット掘出物 / なりたでんき,4,6,2624,B076Z7JRF9,SHARP HDD/BDレコーダー用 冷却ファン 004 277 0032,https://www.amazon.co.jp/dp/B076Z7JRF9,https://www.google.com/search?q=%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%97%28SHARP%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ドウシシャ(DOSHISHA),2,ホーム＆キッチン,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,びたみん / 【インボイス対応店舗】すまいる(^O^)／ショップ / 埼玉良品堂,5,6,1080,B085LH8CZG,ドウシシャ かき氷器 手動 HAPIKOARI(ハピコオリ) バラ氷対応 製氷カップ付き ブルー,https://www.amazon.co.jp/dp/B085LH8CZG,https://www.google.com/search?q=%E3%83%89%E3%82%A6%E3%82%B7%E3%82%B7%E3%83%A3%28DOSHISHA%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ビクター(VICTOR),2,パソコン・周辺機器,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,カナザワ商店 / 安心堂オンラインストア / アシストオフィスひだまり,4,6,805,B0872P6NL9,Victor(ビクター) 1回録画用 ブルーレイディスク BD-R DL 50GB 6枚(5枚+1枚) ホワイトプリンタ,https://www.amazon.co.jp/dp/B0872P6NL9,https://www.google.com/search?q=%E3%83%93%E3%82%AF%E3%82%BF%E3%83%BC%28VICTOR%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ブリヂストン(BRIDGESTONE),2,スポーツ＆アウトドア,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,☆大処分セール!!☆ 実施中　S - g o o d / anything store 1号店 / みの76マーケット【インボイス対応 適格請求書発行事業者】,4,5,1234,B0BTKSGWFT,BRIDGESTONE(ブリヂストン)ゴルフボール SUPER STRAIGHT 2023年モデル 12球入 イエロー,https://www.amazon.co.jp/dp/B0BTKSGWFT,https://www.google.com/search?q=%E3%83%96%E3%83%AA%E3%83%82%E3%82%B9%E3%83%88%E3%83%B3%28BRIDGESTONE%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ヤマハ(YAMAHA),2,家電＆カメラ,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／メーカー名日本語,なし,株式会社ピアノプラザ / 株式会社コジマ / 三木楽器株式会社,6,6,2316,B013WW90EO,ヤマハ YAMAHA ヘッドホン ホワイト HPH-50WH,https://www.amazon.co.jp/dp/B013WW90EO,https://www.google.com/search?q=%E3%83%A4%E3%83%9E%E3%83%8F%28YAMAHA%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ラウンドアップ,2,産業・研究開発用品,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,JAN45/49／manufacturer日本語／メーカー名日本語,なし,フェムトス（三共精密株式会社）（T4200001037265）８月8日から８月16日盆休み / クリア・プロ（Ｔ1180001100557）８月8日から１６日まで盆休み / リーフプレミア（T4810999916456）８月８日から８月１６日はお盆休みです。,3,5,3568,B072F13VMY,日産化学工業 日産アクアチェック3 100枚入×2本 水質検査試験紙 プール ジャグジー 浴場等管理用,https://www.amazon.co.jp/dp/B072F13VMY,https://www.google.com/search?q=%E3%83%A9%E3%82%A6%E3%83%B3%E3%83%89%E3%82%A2%E3%83%83%E3%83%97%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
レゴ(LEGO),2,おもちゃ,除外（規模：大企業確定）,誰でも知る大企業・上場グループ・グローバル本社,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語,なし,First step オンラインショップ / 総合ストアせせらぎ本舗【インボイス対応店】 / REDストア,5,7,3528,B0DHSBVRR7,レゴ(LEGO) クリエイター うちゅうロボット 31164 おもちゃ 男の子 女の子,https://www.amazon.co.jp/dp/B0DHSBVRR7,https://www.google.com/search?q=%E3%83%AC%E3%82%B4%28LEGO%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
