メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
日本経済新聞出版社,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,タウンズマート / 松陰 書店,2,2,3048,453231478X,経営戦略の思考法,https://www.amazon.co.jp/dp/453231478X,https://www.google.com/search?q=%E6%97%A5%E6%9C%AC%E7%B5%8C%E6%B8%88%E6%96%B0%E8%81%9E%E5%87%BA%E7%89%88%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
日経BP,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,タウンズマート / 松陰 書店 / ブックマーケティング(ご注文確定前に表示の到着予定日をご確認下さい、ご注文後のキャンセルご遠慮下さい,3,5,1358,4296207946,2025-26年版 技術士第二次試験 建設部門 最新キーワード100,https://www.amazon.co.jp/dp/4296207946,https://www.google.com/search?q=%E6%97%A5%E7%B5%8CBP%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
日経BP 日本経済新聞出版本部,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,松陰 書店 / タウンズマート / quickshop 横浜店,3,3,1600,4532310237,巨象も踊る,https://www.amazon.co.jp/dp/4532310237,https://www.google.com/search?q=%E6%97%A5%E7%B5%8CBP%20%E6%97%A5%E6%9C%AC%E7%B5%8C%E6%B8%88%E6%96%B0%E8%81%9E%E5%87%BA%E7%89%88%E6%9C%AC%E9%83%A8%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
旺文社,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,附家書店 / トップカルチャー蔦屋書店フォレオ菖蒲店 / 蔦屋書店　長岡古正寺店,4,4,218,4010949864,【音声アプリ対応】英検3級 でる順パス単 5訂版 (旺文社英検書),https://www.amazon.co.jp/dp/4010949864,https://www.google.com/search?q=%E6%97%BA%E6%96%87%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
明治図書出版,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,いずみbooks,1,2,2009,4189300101,大きいサイズ ほめ言葉手帳ワイド２０２５ Ｐｒａｉｓｅ　Ｄｉａｒｙ　Ｗ　２０２５,https://www.amazon.co.jp/dp/4189300101,https://www.google.com/search?q=%E6%98%8E%E6%B2%BB%E5%9B%B3%E6%9B%B8%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
昭文社,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,ブックマーケティング(ご注文確定前に表示の到着予定日をご確認下さい、ご注文後のキャンセルご遠慮下さい / プルート書店（インボイス対応店舗）,2,4,1281,4398658505,ツーリングマップル R関東甲信越 2025,https://www.amazon.co.jp/dp/4398658505,https://www.google.com/search?q=%E6%98%AD%E6%96%87%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
朝日新聞出版,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,もふなみショップ アマゾン店（Fame legend),1,2,9559,4023323764,羽生結弦写真集 Tai（AERA特別編集／スペシャルBOX入り） ([バラエティ]),https://www.amazon.co.jp/dp/4023323764,https://www.google.com/search?q=%E6%9C%9D%E6%97%A5%E6%96%B0%E8%81%9E%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
東洋経済新報社,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ECJOY！ブックス [適格請求書発行事業者登録済] / 京都大垣書店オンライン / 松陰 書店,4,5,1405,B00T3C6IK2,会社四季報ワイド版 2025年2集・春号,https://www.amazon.co.jp/dp/B00T3C6IK2,https://www.google.com/search?q=%E6%9D%B1%E6%B4%8B%E7%B5%8C%E6%B8%88%E6%96%B0%E5%A0%B1%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
松竹,1,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ECJOY！ブックス [適格請求書発行事業者登録済] / ときめき ライフ / エスネット ストアー,5,6,4554,B07YDR3YKV,ザ・ファブル 豪華版 (初回限定生産) [Blu-ray],https://www.amazon.co.jp/dp/B07YDR3YKV,https://www.google.com/search?q=%E6%9D%BE%E7%AB%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
株式会社ソニー・ピクチャーズ エンタテインメント,1,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,大企業確定,メーカー名日本語／日本法人格,なし,収集本舗,1,2,1689,B0DQY5HRFV,【Amazon.co.jp限定】ヴェノム：ザ・ラストダンス　プレミアム・スチールブック・エディション［４Ｋ ＵＨＤ ＋ ,https://www.amazon.co.jp/dp/B0DQY5HRFV,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%83%94%E3%82%AF%E3%83%81%E3%83%A3%E3%83%BC%E3%82%BA%20%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
