exhibitor,booth,class
（株）謙和,東3-T26-31,PASS
糸魚川産翡翠（（株）,東7-T33-23,PASS
.Garbon（人工レザー＆ノベルティ）／ねかせハイ,西2-Ｔ25-04,PASS
ジャパンワン,東3-T20-42,PASS
（有）伊藤金属総業,東7-T49-02,PASS
海南商工会議所,東7-T38-20,団体・自治体・教育機関(メーカーでない)
こい屋（村上鯉幟商会）,東2-T17-50,PASS
（有）沙羅,東7-FS06,PASS
（株）つえ屋,東7-T35-28,PASS
（同）いなかず商店／広川町商工会,西2-Ｔ25-06,団体・自治体・教育機関(メーカーでない)
加栄レース,東7-JB04,PASS
興亜産業（株）,東1-T10-15,PASS
洒楽斎（SYARAKUSAI）,東7-Ｔ48-02,海外表記(国内から仕入れられない)
辻󠄀一（株）,東7-T47-18,PASS
（株）稲庭うどん小川,西1-AC-31,PASS
香るあられ 新興製菓,西1-AC-33,PASS
（株）香彩堂,東7-T36-04,PASS
津市商工会,西1-GL-05,団体・自治体・教育機関(メーカーでない)
いなべ市商工会,西2-T34-17,団体・自治体・教育機関(メーカーでない)
加賀産業（株）,東7-T38-05,PASS
KOSHU ILLUSTRATIONS,東2-T16-12,海外表記(国内から仕入れられない)
JUNKS,東3-T23-44,海外表記(国内から仕入れられない)
（株）柿沼人形,西3-T42-03,PASS
ツジセル,東2-T11-16,PASS
（株）華玉,東3-T24-11,PASS
高知県産業振興センター,東7-T47-02,PASS
JUICE Indigo studio,西2-T21-20,海外表記(国内から仕入れられない)
（株）TSUNAGARI／HongKong Unni Limited,東3-T24-45,海外表記(国内から仕入れられない)
（株）井上,東7-T38-20,PASS
家具工房ムゥ,西1-T08-11,PASS
高波クリエイト,東2-T17-47,PASS
秀隆,西3-T42-11,PASS
燕三条地場産業振興センター,西3-T45-08,PASS
（株）井上企画,西1-T06-07,PASS
（株）岳南木工商会,西2-T20-21,PASS
宏福商事（同）,東8-T56-06,商社・代理店・デザイン(メーカー直でない)
JEWELIVES,東2-T18-21,海外表記(国内から仕入れられない)
燕チタン,西1-T01-03,PASS
井上企画・幡,西1-T05-07,PASS
KAKELA&TRANQUIL,東7-MC63,海外表記(国内から仕入れられない)
工房野良 天然素材 100％ 草木染め,東7-FS04,PASS
Jewel Kiriko,西3-T41-04,海外表記(国内から仕入れられない)
tsubura,東7-MC46,海外表記(国内から仕入れられない)
籠屋ハセガワ,西3-T41-04,PASS
光陽陶器（株）,西4-T54-08,PASS
寿光,西3-T42-11,PASS
DEAR PIPI,西1-T13-08,海外表記(国内から仕入れられない)
伊場仙,西3-T42-03,PASS
春日市商工会,西3-T45-05,団体・自治体・教育機関(メーカーでない)
KOEDO川越硝子（株）,東3-T24-39,PASS
しゅろのコトと。,東7-T38-20,PASS
デイアウト,東7-FS14,PASS
Emago／（株）,東7-MC51,海外表記(国内から仕入れられない)
gowell,東2-T13-28,海外表記(国内から仕入れられない)
JOIDART,東7-MC27,海外表記(国内から仕入れられない)
TNP（株）,東3-T27-47,海外表記(国内から仕入れられない)
iris｜HOKKAIDO WOOD LIGHTING,西1-T12-05,海外表記(国内から仕入れられない)
香すみ堂（株）,西3-T42-17,PASS
GOKAI メタルスタンド,東3-T26-44,PASS
イルプリモ,東7-SL16,PASS
華世商務（株）,西2-T20-07,PASS
（株）Cosy Homes,西2-T20-15,海外表記(国内から仕入れられない)
(有)正栄 曽根人形,西3-T42-11,PASS
ティーズファクトリー,西4-T57-06,PASS
岩泉龍泉炭,西3-T42-06,PASS
片岡商店,西3-T46-11,PASS
KOOSO,西1-AC-29,海外表記(国内から仕入れられない)
片岡屏風店,西3-T42-03,PASS
コーリュウ,東3-T29-04,PASS
精進（株）,東7-T48-17,PASS
ティーツーカンパニー,東7-T36-13,PASS
イワコーグローバル,東2-T10-38,PASS
KATAOZOME,西3-T43-03,海外表記(国内から仕入れられない)
GOLDEN FLASH MFG,東7-T44-27,海外表記(国内から仕入れられない)
（株）賞美堂本店,西1-T05-12,PASS
（有）岩佐表具店,西3-T44-15,PASS
（有）片力商事,西4-T57-03,商社・代理店・デザイン(メーカー直でない)
（株）正和,西2-T26-11,PASS
ティーライフ,西2-T20-01,PASS
KATURA,東7-T47-02,海外表記(国内から仕入れられない)
ゴールドバッハ（タオタロウ）,東2-T17-14,PASS
（株）食品企画,西3-T42-03,PASS
岩槻人形協同組合,西3-T42-11,団体・自治体・教育機関(メーカーでない)
加藤精工（株）,西3-T43-18,PASS
コールマン,西1-T10-02,PASS
DAYS,東7-MC58,海外表記(国内から仕入れられない)
いわての物産展等実行委員会・岩手県,西3-T42-06,団体・自治体・教育機関(メーカーでない)
加藤木工（株）,西3-T43-03,PASS
（株）KOKADO,東3-T23-06,海外表記(国内から仕入れられない)
ジョリコエンタープライズピーティワイリミテッド日本支店,東8-T52-06,PASS
Days,東7-SL15,海外表記(国内から仕入れられない)
カネ十農園,西1-T05-01,PASS
（有）五感,東7-T34-36,PASS
白雪ふきん,西2-T20-14,PASS
ティ,西4-T57-06,PASS
COQ KANAKO KAJIHARA,西1-T04-02,海外表記(国内から仕入れられない)
TTC（株）,東3-T27-12,海外表記(国内から仕入れられない)
国府町商工会,西3-T46-0１,団体・自治体・教育機関(メーカーでない)
シルバー,西1-T01-15,PASS
DETAIL OEM SERVICE,東3-T27-48,海外表記(国内から仕入れられない)
カノー,東8-T53-02,PASS
（株）新宮商行,西1-T12-05,PASS
ティトウリー,東7-MC28,PASS
kokochi-kigi,西1-AC-16,海外表記(国内から仕入れられない)
新宮商工会議所,東7-T49-20,団体・自治体・教育機関(メーカーでない)
（株）dinos,東3-T27-32,海外表記(国内から仕入れられない)
カブット,西2-T21-12,PASS
COCODOR,西2-T33-09,海外表記(国内から仕入れられない)
シンクレア,東3-T25-29,PASS
ディビット・ハウエル＆カンパニー,西1-T03-11,PASS
カミイソ,東2-T16-37,PASS
（株）信浩コーポレーション,西2-T27-20,PASS
（株）T.Y.T. TRADING,東3-T27-44,海外表記(国内から仕入れられない)
インパック,西2-T34-13,PASS
Camino,西3-T46-04-C,海外表記(国内から仕入れられない)
Kosaburou,東7-T34-32,海外表記(国内から仕入れられない)
TIMBR,西2-T21-20,海外表記(国内から仕入れられない)
iNFiZiTY,東2-T16-14,海外表記(国内から仕入れられない)
テクノアート,西2-T23-10,PASS
Kamiora,西1-AC-11,海外表記(国内から仕入れられない)
新東力,東8-T56-01,PASS
（株）IMPEX JAPAN,東7-SL20,海外表記(国内から仕入れられない)
KAMIKA,西3-T46-11,海外表記(国内から仕入れられない)
KODAMA TOKI,西1-AC-20,海外表記(国内から仕入れられない)
新徳丸（株）,西2-T27-16,PASS
decoráte,西1-T13-08,海外表記(国内から仕入れられない)
Wismettacフーズ,西4-T57-06,海外表記(国内から仕入れられない)
神玉工房／糸魚川産翡翠,東7-T33-23,PASS
Cotch Kurumi Accessory,西1-AC-07,海外表記(国内から仕入れられない)
ヴィダエックスエル,西4-T50-19,PASS
紙力 -KAMIZIKARA-,西3-T46-11,海外表記(国内から仕入れられない)
Godisru,西3-T42-03,海外表記(国内から仕入れられない)
SHINYOU,東3-T29-28,海外表記(国内から仕入れられない)
香美町商工会,西3-T42-17,団体・自治体・教育機関(メーカーでない)
コトブキ被服（有）,東7-T34-28,PASS
飲むだけで森林浴 森林浴茶,西3-T42-17,PASS
（株）Design Store,西3-T39-03,海外表記(国内から仕入れられない)
カミナガ販売（株）,東7-T48-15,PASS
紙模様,西3-T41-04,PASS
COPACK,西1-AC-01,海外表記(国内から仕入れられない)
（株）粋笑,東8-T57-29,PASS
WIN PLUS（株）,東3-T21-40,海外表記(国内から仕入れられない)
（株）神谷商会,西1-T06-17,PASS
小林工業（株）,西3-T45-08,PASS
Digiwell,東3-T26-47,海外表記(国内から仕入れられない)
WooBia Japan,西2-T37-16,海外表記(国内から仕入れられない)
（株）上山織物,東3-T27-35,PASS
ZOO,東7-MC55,海外表記(国内から仕入れられない)
手刺繡工房ラジュー,東7-MC06,PASS
ウーブンナック,西3-T39-04,PASS
亀染屋(亀﨑染工（有）),西3-T43-15,PASS
co-bo-no／（株）丸勝,西1-T07-16,海外表記(国内から仕入れられない)
スーパー生木ラボ,西1-T06-02,PASS
デジタルランド,東8-T55-14,PASS
HEUREUX（ウゥル）,東7-Ｔ48-02,海外表記(国内から仕入れられない)
カメヤ食品（株）,西1-AC-32,PASS
小松商工会議所,西3-T46-02,団体・自治体・教育機関(メーカーでない)
（株）SKY DEER,西3-T43-03,海外表記(国内から仕入れられない)
TesseHongo,西1-T01-13,海外表記(国内から仕入れられない)
ヴェクスセット,西2-T35-11,PASS
加陽印刷（株）,東2-T16-49,PASS
skyfish（運営会社：,東3-T21-38,PASS
てのひら／（同)PlusRootsJapan,西1-T06-06,海外表記(国内から仕入れられない)
（株）華陽テクノ・プラザ,東2-T11-37,PASS
米印製麺,西1-AC-30,PASS
（株）須賀川シューパーツ,西1-T11-02,PASS
Webおかん,東2-T19-30,PASS
comodesukoyaka・ （株）木下染工場,東7-T47-20,海外表記(国内から仕入れられない)
須賀川商工会議所,西1-T11-02,団体・自治体・教育機関(メーカーでない)
デボラ,東7-T45-22,PASS
（株）WelleW,東7-FS14,海外表記(国内から仕入れられない)
Deli／得力東京（株）,西2-T31-03,PASS
ウォームアーツ,西1-T01-03,PASS
カラビナマニア,西3-T46-11,PASS
（有）小山カバーリング,西3-T39-03,PASS
すかや呉服店,西3-T45-02,PASS
うおづら,東2-T15-12,PASS
CALINER,東7-MC49,海外表記(国内から仕入れられない)
紙製品のコヨミックス,東2-T15-48,PASS
SUGY JAPAN,西1-T05-11,海外表記(国内から仕入れられない)
（株）天空│オリジナルPC・中国OEM貿易代行,東2-T18-43,商社・代理店・デザイン(メーカー直でない)
Walt Technology Japan,東2-T10-18,海外表記(国内から仕入れられない)
刈谷商工会議所,西3-T43-18,団体・自治体・教育機関(メーカーでない)
（株）杉田靴下／広陵町商工会,東7-T39-35,団体・自治体・教育機関(メーカーでない)
天板屋®／コバヤシ産業（株）,西4-T49-10,PASS
ウォルナット／ルーツポーチ,西2-T38-15,PASS
カルチュア・エンタテインメント,東2-T16-26,PASS
すぎのか,西1-T09-03,PASS
うきは市商工会,西2-T26-08,団体・自治体・教育機関(メーカーでない)
カルペディエム,東2-T19-30,PASS
colulu,東2-T17-24,海外表記(国内から仕入れられない)
杉山金属（株）,西1-T01-01,PASS
toy-spice!,西1-AC-15,海外表記(国内から仕入れられない)
うごく,東3-T27-19,PASS
Garage T.E.G.K.,西1-T01-12,海外表記(国内から仕入れられない)
これいい和,西3-T42-04,PASS
スケーター,西4-T57-06,PASS
東亜金属（株）,東1-T08-37,PASS
UZ Fabric,東7-MC13,海外表記(国内から仕入れられない)
カロスビューティーテクノロジー,東7-T50-15,PASS
コレミタコトナイ,西1-T13-02,PASS
助野（株）,東7-T37-24,PASS
真鍮建築金物ドゥーブ ジャパン,西4-T49-06,PASS
カワイ,西4-T55-10,PASS
コンセル,西1-T13-08,PASS
SQUALL. INC,東7-SL08,海外表記(国内から仕入れられない)
東栄産業（株）,東2-T18-04,PASS
（有）内田販売システム,西3-T42-06,PASS
川上織物（株）,東7-JB03,PASS
CONSENTABLE,西3-T44-10,海外表記(国内から仕入れられない)
逗子市商工会,西1-T07-09,団体・自治体・教育機関(メーカーでない)
東海光学（株）,東7-T42-10,PASS
gondoa,東7-MC12,海外表記(国内から仕入れられない)
ウッディプッディ／TIMBLO,東3-T24-34,PASS
川口指物家具工房,西3-T45-17,PASS
寿々なり堂,東2-T19-30,PASS
（株）東京かんかん,西2-T25-03,PASS
(同)ウッドアート楽,西3-T44-03,PASS
川﨑（株）,西1-T01-03,PASS
（株）Stylus,東3-T25-38,海外表記(国内から仕入れられない)
（株）東京交易,西2-T23-15,PASS
Woodupp／Scandinavian Housing,西4-T51-12,海外表記(国内から仕入れられない)
KONTON／ヤマテー,西2-T36-03,PASS
スタイルオン,東7-T35-02,PASS
（株）東京商工社,西3-T42-03,PASS
河野製紙(株),東7-T47-02,PASS
STUDIO SCREW,西3-T46-11,海外表記(国内から仕入れられない)
とうきょうの木 魅力発信拠点 TOKYO MOKUNAVI,西1-T06-01,PASS
（株）WoodHead,西3-T45-17,海外表記(国内から仕入れられない)
コンプロエス,東3-T28-37,PASS
STALLION JAPAN,東3-T24-24,海外表記(国内から仕入れられない)
はてな企画,西1-T05-20,PASS
菩提樹,西3-T45-09,PASS
（株）ユナイテッドレザー,東7-SL04,PASS
"DONGGUAN LEATCH INDUSTRIAL CO., LTD.",南2-T09-24,海外表記(国内から仕入れられない)
padova,東7-MC48,海外表記(国内から仕入れられない)
HOKKAIDO WOOD／北海道の木で、できたモノ,西1-T12-05,PASS
（株）ユニーク,東3-T27-51,PASS
DONGGUAN LIANFA HANDBAG PRODUCTS COMPANY LIMITED,南2-T14-28,海外表記(国内から仕入れられない)
華ごろ-フラワー空間デザイン-,西2-T29-15,PASS
BOXSCAPE,西3-T46-11,海外表記(国内から仕入れられない)
ユニオンクリエイティブ,東2-T12-44,PASS
"DONGGUAN MEMEDA PHOTOELECTRICITY TECHNOLOGY CO., LTD.",南2-T09-16,海外表記(国内から仕入れられない)
パナソニック ハウジングソリューションズ,西4-T49-12,PASS
bosje／PLYWOOD laboratory,西1-T12-05,海外表記(国内から仕入れられない)
ユニオンビズ,西4-T49-02,PASS
"DONGGUAN MHC INDUSTRIAL CO., LTD.",南2-T09-12,海外表記(国内から仕入れられない)
（株）花光,西2-T26-18,PASS
Poshdeco,東2-T17-10,海外表記(国内から仕入れられない)
（株）ユミトルインポート,西3-T43-01,商社・代理店・デザイン(メーカー直でない)
"DONGGUAN NORDA IM TECHNOLOGY CO., LTD.",南2-T12-33,海外表記(国内から仕入れられない)
東京ビジネスデザインアワード事務局,西1-T02-10,PASS
Panenka,西1-AC-24,海外表記(国内から仕入れられない)
（株）ユメミグサ,東7-T48-22,PASS
"DONGGUAN PADMAT RUBBER CO., LTD.",南2-T12-01,海外表記(国内から仕入れられない)
東京ベーシック,東7-T34-37,PASS
ペルシャ絨毯 バハール,西2-T30-25,PASS
ゆわて吉田工業（株）,西3-T42-06,PASS
"DONGGUAN PEENTO GIFTS CO., LTD.",南2-T12-06,海外表記(国内から仕入れられない)
東京未来素材,東3-T27-21,PASS
ハビッツ,東7-T39-36,PASS
pot-pourri,東7-MC60,海外表記(国内から仕入れられない)
ヨイドレ,東2-T16-22,PASS
"DONGGUAN PENGZE GIFTS CO., LTD.",南2-T11-13,海外表記(国内から仕入れられない)
東玉,西3-T42-11,PASS
ハマゼン和装,西3-T44-04,PASS
堀内鏡工業（株）,西1-T12-04,PASS
"DONGGUAN PINSHUO CRAFT & GIFT CO., LTD.",南2-T12-14,海外表記(国内から仕入れられない)
to/芸 Mouth Sense,西1-T06-05,海外表記(国内から仕入れられない)
濱文様,西3-T43-06,PASS
（有）堀江陶器,西1-T07-05,PASS
用美（ヤマコー,西2-T26-10,PASS
"DONGGUAN SANSAN CULTURAL INDUSTRY CO., LTD.",南1-T06-08,海外表記(国内から仕入れられない)
東光,東7-FS14,PASS
ハヤシ商事(株),東7-T47-02,商社・代理店・デザイン(メーカー直でない)
Holomua（株）,西2-T30-10,海外表記(国内から仕入れられない)
ヨークス,西3-T39-12,PASS
"DONGGUAN SIQUAN GIFT TECHNOLOGY CO., LTD.",南1-T06-04,海外表記(国内から仕入れられない)
東盛商事（株）,西2-T28-18,商社・代理店・デザイン(メーカー直でない)
YOJOTAPE ＋9P,東2-T16-08,海外表記(国内から仕入れられない)
"DONGGUAN SONGTIAN ARTS AND CRAFTS CO., LTD.",南2-T11-02,海外表記(国内から仕入れられない)
陶房くるみ,西1-T05-20,PASS
原宿Picnic,東2-T14-28,海外表記(国内から仕入れられない)
ヨコズナクリエーション,西2-T27-10,PASS
"DONGGUAN TAIMENG ACCESSORIES CO., LTD.",南2-T10-36,海外表記(国内から仕入れられない)
TOHMA,西4-T51-08,海外表記(国内から仕入れられない)
ホンクンのネコ,東2-T16-15,PASS
"DONGGUAN TIANQIAO RIBBON CO., LTD.",南1-T06-14,海外表記(国内から仕入れられない)
HARIO Lampwork Factory,西1-T05-03,海外表記(国内から仕入れられない)
POMTATA,西1-T04-10,海外表記(国内から仕入れられない)
"DONGGUAN XIN CHENG BADGE AND PRESENT CO., LTD.",南2-T12-23,海外表記(国内から仕入れられない)
東洋医学の郷,西3-T40-09,PASS
"DONGGUAN YINGDONG TECHNOLOGY CO., LTD.",南1-T07-22,海外表記(国内から仕入れられない)
東洋スチール,西1-T11-09,PASS
"DONGGUAN YU YANG CHENG TECHNOLOGY CO., LTD.",南2-T15-38,海外表記(国内から仕入れられない)
東洋精密工業（株）,東2-T15-42,PASS
マークメーカー,東7-SL03,PASS
ヨシダ工業（株),東7-T49-21,PASS
"DONGGUAN YUNXIANG WOODEN HANDICRAFTS CO., LTD.",南1-T05-07,海外表記(国内から仕入れられない)
（株）東洋石創,西3-T44-04,PASS
播州織／多可町商工会,東7-JB03,団体・自治体・教育機関(メーカーでない)
marble SUD,西1-AC-12,海外表記(国内から仕入れられない)
吉田産業（株）,東1-T09-12,PASS
"DONGGUAN ZHANHONG WEAVING STRING CO., LTD.",南2-T10-26,海外表記(国内から仕入れられない)
maia,西2-T36-03,海外表記(国内から仕入れられない)
"DONGGUAN ZUYA BAGS & LEATHER CO., LTD.",南2-T09-01,海外表記(国内から仕入れられない)
東隆（株）,東7-T46-28,PASS
吉田 司,西3-T39-04,PASS
"DONGYANG LUOSHAN LEISURE PRODUCTS CO., LTD.",南2-T13-11,海外表記(国内から仕入れられない)
（株）陶和,東1-T07-34,PASS
BUMPY／広島化成（株）,西1-T04-04,PASS
Myfamily,東2-T18-13,海外表記(国内から仕入れられない)
YOSHIDAYASURI,西1-T01-03,海外表記(国内から仕入れられない)
"DR.EASY BIO-TECH(HEFEI)CO., LTD.",南2-T14-12,海外表記(国内から仕入れられない)
TOA CORPORATION,東7-MC43,海外表記(国内から仕入れられない)
バンブープラネタリウム工房,西1-T07-09,PASS
（株）MyBest,東1-T09-37,海外表記(国内から仕入れられない)
義恒,東3-T27-38,PASS
EAST CHINA FAIR,東3-T27-52,海外表記(国内から仕入れられない)
播縫製工場,東7-FS02,PASS
マイン,東3-T28-15,PASS
（株）吉徳,東2-T11-44,PASS
ENVITEK(CHINA)LTD.,南1-T08-32,海外表記(国内から仕入れられない)
（株）万雷商事,東2-T18-40,商社・代理店・デザイン(メーカー直でない)
前沢クラフト,西2-T21-20,PASS
（株）YONEDA,西3-T44-10,海外表記(国内から仕入れられない)
"ESENTIAL TECHNOLOGY CO., LIMITED",南1-T05-23,海外表記(国内から仕入れられない)
ビーイング,東7-T36-23,PASS
"EVERICH AND TOMIC HOUSEWARES CO., LTD.",南1-T04-04,海外表記(国内から仕入れられない)
前商事（株）,東3-T23-45,商社・代理店・デザイン(メーカー直でない)
FANCY I/E(YANGZHOU) CORPORATION,南2-T10-11,海外表記(国内から仕入れられない)
（株）BMZ,東7-T37-36,海外表記(国内から仕入れられない)
前田工業（株）Recipe／PENNY LANE,西1-T08-12,海外表記(国内から仕入れられない)
"FERROGOLD TECHNOLOGY CO., LTD.",南2-T10-28,海外表記(国内から仕入れられない)
（株）前田屋／petitemaman（ぷちままん）,東7-T34-31,PASS
Laito～Daily tattoo～,西1-AC-05,海外表記(国内から仕入れられない)
"FIRE-WOLF ELECTRONICS CO., LTD.",東3-Ｔ27-45,海外表記(国内から仕入れられない)
TOKOTOYZ,東2-T17-07,海外表記(国内から仕入れられない)
"FOAMTECH (ZHEJIANG) NEW MATERIALS CO., LTD.",南2-T13-12,海外表記(国内から仕入れられない)
（有）土佐通信,東7-T47-02,PASS
（株）PGA,東2-T19-27,海外表記(国内から仕入れられない)
ライブリーライフ,東2-T19-39,PASS
"FOSHAN KOEDA ELECTRIC APPLIANCE CO., LTD.",南2-T13-19,海外表記(国内から仕入れられない)
TOSHIKO NAKANO,東7-T34-33,海外表記(国内から仕入れられない)
（株）ラインズ 2027年～2028年秋冬、2028年春夏テキスタイルコレクション,東7-FS16,PASS
"FOSHAN LIFECODE ELECTRONIC TECH.CO., LTD.",南2-T09-17,海外表記(国内から仕入れられない)
豊島屋本店,西3-T42-03,PASS
（株）Peace,東1-T09-41,海外表記(国内から仕入れられない)
升井彩本乾漆,西3-T39-03,PASS
"FOSHAN MICOVIBE COOKWARE CO., LTD.",南2-T14-16,海外表記(国内から仕入れられない)
TOSSDICE Inc.／BBH,西2-T30-02,海外表記(国内から仕入れられない)
B-Style Company,東7-T43-21,海外表記(国内から仕入れられない)
マスコジャパン,東3-T28-45,PASS
RuggedSear,西1-GL-01,海外表記(国内から仕入れられない)
"FOSHAN NANHAI HUISEN PLEXIGLASS CRAFTS CO., LTD.",南2-T14-35,海外表記(国内から仕入れられない)
（有）戸田商行,東7-T47-02,PASS
マスターウォール コーヒー／カフェ,西2-T29-10,PASS
La遇,西3-T44-02,PASS
戸田デザイン研究室,西1-T03-16,商社・代理店・デザイン(メーカー直でない)
（株）bpbp,東3-T26-20,海外表記(国内から仕入れられない)
マストプラニング,西1-T13-08,PASS
ラクファースト,東3-T25-17,PASS
"FOSHAN SPEEDFROG ELECTRONIC TECHNOLOGY CO., LTD.",南2-T15-36,海外表記(国内から仕入れられない)
トップマン工業（株）,東7-T38-27,PASS
PEEP ZOOM,西1-T13-08,海外表記(国内から仕入れられない)
増成織ネーム,東3-T26-04,PASS
当たりつき靴下 ラッキーソックス,東7-T44-28,PASS
"FUJI NEW ENERGY (NANTONG) CO., LTD.",南1-T03-31,海外表記(国内から仕入れられない)
ととのう とっとり,西4-GLS-05,PASS
真多呂人形,西3-T42-03,PASS
ラドンナ／KONCIWA,東7-T37-04,PASS
"FUJIAN DEHUA JOYME INDUSTRY AND TRADE CO., LTD.",南2-T15-11,海外表記(国内から仕入れられない)
TOPYU,東7-T48-10,海外表記(国内から仕入れられない)
People Tree,西2-Ｔ25-16,海外表記(国内から仕入れられない)
町工場プロダクツ,西3-T46-11,PASS
"FUJIAN JICHENG UMBRELLA CO., LTD.",南1-T07-07,海外表記(国内から仕入れられない)
トマトランド,東3-T26-24,PASS
ヒオリエ,西2-T22-16,PASS
（株）松浦,東3-T23-38,PASS
"FUZHOU NINESTARS INTERNATIONAL TRADE CO., LTD.",南1-T07-13,海外表記(国内から仕入れられない)
富岡市妙義商工会,東7-T45-27,団体・自治体・教育機関(メーカーでない)
東近江市商工会／（株）青地ライフクリエイト,西3-T45-12,PASS
松尾（株）,東7-MC38,PASS
Lapita,西4-GLS-02,海外表記(国内から仕入れられない)
"GAOMI TIANFU TEXTILE CO., LTD.",南2-T14-19,海外表記(国内から仕入れられない)
TOMIGAYAレタープレス,西1-T03-12,PASS
東近江市商工会／（株）竹六商店,西3-T45-03,PASS
（株）松尾陶器,西4-T54-14,PASS
"GLOBAL ART GIFTS CO., LTD.",南2-T11-35,海外表記(国内から仕入れられない)
富ヶ谷レタープレス,西3-T42-03,PASS
（株）光サプライズ,東2-T18-44,PASS
（株）松川レピヤン,西3-T40-04,PASS
"GLOBE UNION MANUFACTURING CO., LTD.",南2-T12-26,海外表記(国内から仕入れられない)
Tomtoc／FAND DREAM／MOFT,東2-T18-36,海外表記(国内から仕入れられない)
光商事,東2-T17-12,商社・代理店・デザイン(メーカー直でない)
マック,西1-T08-09,PASS
Lovely Smile,東3-T27-18,海外表記(国内から仕入れられない)
"GOLDSANG(DONGGUAN) SILICONE AND RUBBER PRODUCTS CO., LTD.",南2-T11-03,海外表記(国内から仕入れられない)
マックス,東2-T16-38,PASS
"GUANGDONG ARTMU TECHNOLOGY CO., LTD.",南1-T05-27,海外表記(国内から仕入れられない)
ラミーナブティック,東7-T45-27,PASS
"GUANGDONG CARORI HOLDING GROUP CO., LTD.",東8-T55-05,海外表記(国内から仕入れられない)
Pixel Zipper Japan,東2-T14-38,海外表記(国内から仕入れられない)
松阪香肌商工会,東7-T46-19,団体・自治体・教育機関(メーカーでない)
la miseto │YORODUYA TRADE（日本展開ブランド）,西1-T13-06,海外表記(国内から仕入れられない)
"GUANGDONG CHUANGGE PACKAGING CO., LTD.",南2-T12-27,海外表記(国内から仕入れられない)
（株）友桝飲料,西4-GLS-10,PASS
ビクトリノックス,西1-T08-05,PASS
松下ラゲッジ,東7-FS19,PASS
"GUANGDONG FUCHANG STATIONERY CO., LTD.",南2-T12-31,海外表記(国内から仕入れられない)
豊岡商工会議所,西3-T45-04,団体・自治体・教育機関(メーカーでない)
Pickles Works,西1-AC-34,海外表記(国内から仕入れられない)
松永,西3-T42-11,PASS
Lumberjack×Craft,西3-T40-04,海外表記(国内から仕入れられない)
"GUANGDONG HENGLITAI CRAFTS CO., LTD.",南2-T08-21,海外表記(国内から仕入れられない)
トヨタ自動車（株）,東2-T14-22,PASS
（株）美研繊維 布小物OEM,東7-T36-32,PASS
荒物・暮らしの道具 松野屋,西1-T05-02,PASS
ランパス,東7-T43-26,PASS
"GUANGDONG HOLLON PLASTIC TECHNOLOGY CO., LTD.",南2-T12-07,海外表記(国内から仕入れられない)
Map Design GALLERY／ゼンリン,東2-T16-40,海外表記(国内から仕入れられない)
Reach Will魔法瓶（株）,東8-T58-08,海外表記(国内から仕入れられない)
"GUANGDONG ODORKEY MANUFACTURING CO., LTD.",南2-T15-22,海外表記(国内から仕入れられない)
（株）菱屋,西1-T12-04,PASS
（株）松村商店,東3-T23-20,PASS
"GUANGDONG SHUNDE ZUNCHENG ELECTRONIC TECHNOLOGY CO., LTD.",南2-T10-22,海外表記(国内から仕入れられない)
ヒストリーパーク塚原,東7-T48-16,PASS
松本商店,西3-T43-04,PASS
GUANGDONG TRAVELICONS HEALTH TECHNOLOGY LIMITED,南2-T14-22,海外表記(国内から仕入れられない)
トライニスト,西4-T50-03,PASS
ひだか和紙（有）,東7-T47-02,PASS
material michemon（神話と伝説®）,東2-T16-16,海外表記(国内から仕入れられない)
"GUANGDONG YINXIAOQIAN ELECTRONIC TECHNOLOGY CO., LTD.",南2-T09-28,海外表記(国内から仕入れられない)
日田市役所,西3-T44-03,PASS
まめまめ工房秘密基地,東2-T15-14,PASS
Reela,西1-T05-20,海外表記(国内から仕入れられない)
GUANGDONG YIXING NEW MATERIAL,南1-T05-36,海外表記(国内から仕入れられない)
日田商工会議所,西3-T44-03,団体・自治体・教育機関(メーカーでない)
MALAIKA made in Japan,東7-FS17,海外表記(国内から仕入れられない)
リオグループホールディングス,西2-T22-23,PASS
"GUANGDONG YUEFENG DISPLAY PRODUCT CO., LTD.",南2-T09-37,海外表記(国内から仕入れられない)
TRUST・LEAGUE,東7-SL18,海外表記(国内から仕入れられない)
日田地区商工会,西3-T44-03,団体・自治体・教育機関(メーカーでない)
丸榮日産（株）,西4-T57-06,PASS
リカシツ,西3-T42-03,PASS
"GUANGZHOU BAICHUAN DIGITAL EQUIPMENT CO., LTD.",南2-T09-02,海外表記(国内から仕入れられない)
TransFortune,東2-T19-30,海外表記(国内から仕入れられない)
（株）PiPPi De Happy Company,東7-FS20,海外表記(国内から仕入れられない)
（株）丸叶むらた,西2-T33-01,PASS
"GUANGZHOU CML OUTDOOR GOODS CO., LTD.",南1-T06-10,海外表記(国内から仕入れられない)
（株）VIPグローバル,東7-T39-20,PASS
（株）丸幸中島 灶師 Touji,西3-T41-14,PASS
リス,西1-T12-09,PASS
"GUANGZHOU JING LIANG CAI PRINTING CO., LTD.",南2-T14-33,海外表記(国内から仕入れられない)
（株）HIPPS LABORATORIES,東8-T57-21,海外表記(国内から仕入れられない)
リソックラボ,西2-Ｔ25-22,PASS
"GUANGZHOU STYLING LIFE CO., LTD.",東8-T55-01,海外表記(国内から仕入れられない)
ドリームズ,東2-T10-30,PASS
HIP LIK JAPAN（株）,東2-T16-46,海外表記(国内から仕入れられない)
