exhibitor,booth,class
（株）精版印刷,東3-T27-39,PASS
（一社）,西2-Ｔ25-20,PASS
（株）木村桜士堂,西1-T06-17,PASS
（株）サポート,東8-T59-10,PASS
正寶升（株）,東2-T19-41,PASS
（有）ACCENT,東3-T24-31,海外表記(国内から仕入れられない)
木村硝子店,西1-T05-04,PASS
THE MAGIC HOUR,西1-T05-20,海外表記(国内から仕入れられない)
清峰堂（株）,西3-T39-03,PASS
ESCURA,東3-T21-44,海外表記(国内から仕入れられない)
KIMOROBE,東7-MC11,海外表記(国内から仕入れられない)
（株）サンアート,東1-T09-03,PASS
世界初の青色コチョウラン「Blue Gene（ブルージーン）」,西2-T35-15,PASS
（株）ACTマーケティング,東3-T21-37,商社・代理店・デザイン(メーカー直でない)
（株）サン・アロー,東3-T22-20,PASS
セキグチ,西4-T57-06,PASS
AQUBE MUSIC PRODUCTS／U-DOT,西1-T03-10,海外表記(国内から仕入れられない)
（株）サンアンドサン,東7-MC61,PASS
acrylic,西1-T03-09,海外表記(国内から仕入れられない)
SPP（株）,西3-T39-03,海外表記(国内から仕入れられない)
サンエムズ,西1-GL-02,PASS
セトクラフト,西2-T20-11,PASS
アクリル雑貨 suo.-,西1-T09-05,PASS
越後糸,西1-T01-03,PASS
（同）KARROT COMPANY,東3-T24-46,海外表記(国内から仕入れられない)
三海舞龍堂・和扇堂,西2-T20-04,PASS
（株）旭王,東7-T45-28,PASS
越前漆器（株） 光琳堂,西3-T40-04,PASS
キャンディーブーケ ジャパン,東3-T26-38,PASS
TIDEWAY,東7-MC01,海外表記(国内から仕入れられない)
朝倉染布（株）,西1-T08-01,PASS
X Vision（株）,西4-GLS-12,海外表記(国内から仕入れられない)
（株）CUE,東1-T07-04,海外表記(国内から仕入れられない)
（株）三輝 詰め替えそのまま,東7-T49-17,PASS
浅野撚糸,西2-T27-03,PASS
（株）Xfinity Venture,東3-T28-03,海外表記(国内から仕入れられない)
（株）三光堂商店,西1-T05-12,PASS
セラミック藍,東3-T29-01,PASS
（株）XWORK ニッポンこれくしょん,東3-T26-40,PASS
Q-FLA,西2-T33-03,海外表記(国内から仕入れられない)
さんこせん,東2-T17-22,PASS
（株）朝日電機製作所,西3-T39-03,PASS
共栄商事（株）,西4-T55-09,商社・代理店・デザイン(メーカー直でない)
さんさん日本,東1-T09-45,PASS
SENN,西1-AC-04,海外表記(国内から仕入れられない)
アジアクラフトリンク,西4-T55-13,PASS
（株）京彩,東3-T26-17,PASS
"ZEN Co., Ltd.",東1-T08-45,海外表記(国内から仕入れられない)
エデュテ,西1-T13-08,PASS
（株）京谷,東7-T36-23,PASS
さんしょう,東8-T53-05,PASS
センコー,西2-T21-15,PASS
Assist,西4-T55-11,海外表記(国内から仕入れられない)
et,西1-AC-02,海外表記(国内から仕入れられない)
京都烏丸六七堂,西1-AC-13,PASS
ZANSHIN,西1-T05-13,海外表記(国内から仕入れられない)
ZENCOCORO,東7-T47-20,海外表記(国内から仕入れられない)
京都ケミカル,東8-T58-21,PASS
サンスター文具（株）,西4-T57-06,PASS
千趣会イイハナ,西4-T57-06,PASS
AGILITY JAPAN,東7-MC53,海外表記(国内から仕入れられない)
京都府商工会連合会,東3-T29-40,団体・自治体・教育機関(メーカーでない)
（株）サンタン,東2-T12-46,PASS
協和工業（株）,東3-T27-01,PASS
サンディー,東7-MC32,PASS
Zenyo,東3-T20-40,海外表記(国内から仕入れられない)
アスカモデル,東7-Ｔ48-02,PASS
NCAインターナショナル(有),東7-T49-14,PASS
協和紙工（株）,東2-T16-52,PASS
産電子工業（株）,東2-T19-50,PASS
SOW,西2-T37-25,海外表記(国内から仕入れられない)
（株）ASQUA,東7-T49-12,海外表記(国内から仕入れられない)
NTTドコモ,東7-T38-12,PASS
KYOOHOO 京都異業種交流会,西1-T06-17,PASS
（株）サントス,東3-T21-46,PASS
SOÜSAC,東7-FS14,海外表記(国内から仕入れられない)
東谷（株）,西4-T57-06,PASS
（株）EPIS,西2-T32-19,海外表記(国内から仕入れられない)
SUN VALLEY,東7-MC52,海外表記(国内から仕入れられない)
（有）草土,西3-T44-04,PASS
（株）ASENSE,西1-T12-04,海外表記(国内から仕入れられない)
愛媛百貨,西1-T05-20,PASS
サンビーム,東3-T27-08,PASS
ゾーウィー,西4-T57-06,PASS
asobu,西1-T10-06,海外表記(国内から仕入れられない)
FJSインターナショナル,東7-T38-30,PASS
キリー＆アソシエイツ,東1-T09-20,PASS
サンファミリー,東7-T40-28,PASS
（株）足立,西3-T45-04,PASS
（株）F-STYLE,西2-T25-26,海外表記(国内から仕入れられない)
KIRIKOMI,東7-MC15,海外表記(国内から仕入れられない)
（株）サンユーパッケージ,東7-T42-12,PASS
ソクピタル®,東7-T38-24,PASS
"ADACHI CO.,LTD",東7-MC07,海外表記(国内から仕入れられない)
エブリデイとってき屋,東3-T26-16,PASS
（株）三陽,西1-T01-15,PASS
足立織物（株）,東7-JB03,PASS
桐生市,東7-JB04,団体・自治体・教育機関(メーカーでない)
サンヨウ,西2-T22-10,PASS
（株）Sott,西3-T42-06,海外表記(国内から仕入れられない)
KINGWAY,東7-T37-13,海外表記(国内から仕入れられない)
（株）三洋堂,東3-T23-12,PASS
atRise ライズクリエイション,東7-T50-11,PASS
MRSUPPLY,東7-MC14,海外表記(国内から仕入れられない)
キングスター,東3-T20-34,PASS
山陽物産（株）,東8-T57-24,商社・代理店・デザイン(メーカー直でない)
upstairs outdoor living／杉田エース（株）,西2-T37-04,海外表記(国内から仕入れられない)
金熊香水／（株）,西3-T40-16,PASS
サンライズ,東2-T18-42,PASS
側島心具製造所,西3-T46-11,PASS
（株）Up Link,東3-T26-36,海外表記(国内から仕入れられない)
エムイーアイ,西1-T04-07,PASS
（有）瑾齋,西3-T39-03,PASS
（株）サンライズギャラリー,西2-T21-08,PASS
アップルーズ,東7-T47-20,PASS
MSG,西3-T40-10,海外表記(国内から仕入れられない)
錦城護謨（株）,西1-T01-15,PASS
（株）サンライフ,東7-T48-24,PASS
ソフミィ - sofubi + Me -,西3-T44-10,海外表記(国内から仕入れられない)
鑫星貿易,東7-T47-09,商社・代理店・デザイン(メーカー直でない)
（株）Sun Ritz,東7-T37-12,海外表記(国内から仕入れられない)
Sorakara Trading,東2-T19-30,海外表記(国内から仕入れられない)
アトリエシムラ,西4-T50-08,PASS
金野タオル,東3-T22-03,PASS
（株）サンレモン,東2-T11-36,PASS
SORIORI／（株）OUTSENSE,西3-T45-14,海外表記(国内から仕入れられない)
アトリエ ヌイ,東7-MC05,PASS
M Factory,東7-JB02,海外表記(国内から仕入れられない)
GINPO,西1-T06-10,海外表記(国内から仕入れられない)
（株）三和,東1-T08-28,PASS
