preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,新品オファー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),価格定義混在,採用窓,損益分岐仕入れ値,損益分岐仕入れ値_精緻,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
A,B0D86XCN4G,iClever ゲーミングキーボード テンキーレス 赤軸 メカニカル キーボード 日本語配列 マクロ対応 G06 ブラック,iClever,iClever,パソコン・周辺機器 > キーボード・マウス・入力機器 > ゲーミングキーボード,1386,2,Thousandshores JP / Thousandshores Direct JP,,3990,はい,2026-02-23以降,1922,2403,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0D86XCN4G,
A,B0D1VDZ34M,MIATONE Bluetooth スピーカー 360°サウンド 重低音モデル IPX7防水 ワイヤレス お風呂 ブルートゥース スピーカー デュアルパッシブラ,MIATONE,MIATONE,家電＆カメラ > ポータブルオーディオ > ポータブルスピーカー・ドック,7984,2,INNOTECH CORP / MYA-JP,,2759,はい,2026-02-23以降,1511,1822,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0D1VDZ34M,
A,B0FB9JHXTX,CIO SMARTCOBY TRIO 35W モバイルバッテリー PD USB-C×2 USB-A×1 大容量20000mAh (ホワイト),CIO,CIO,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3666,2,株式会社CIO / トライアングル*,メーカー直販,4470,はい,2026-02-23以降,2623,3396,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FB9JHXTX,
B,B0FJY1KB32,"Anker Prime Wireless Charging Station (3-in-1, MagGo, AirCool, Dock Stand)",Anker,Anker,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,5804,2,AnkerDirect / 【インボイス対応】フローレッド,メーカー直販,17990,はい,2026-02-23以降,10061,13864,標準2,332,大手/海外疑い,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FJY1KB32,
A,B0GF295GM5,骨伝導イヤホン マイク付き、Kemeskin ビジネス 通話専用ヘッドセットBluetooth 6.1、ENC DSP高精度ノイズキャンセリングマイク付きイヤホ,Kemeskin,"DongGuan Kemi Electronics Technology Co., Ltd",家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,3340,3,Bestroad chain / zhengzhoujinyuzaishengziyuanhuishou,,5980,はい,2026-02-23以降,3705,5029,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GF295GM5,
B,B0DK79VFWN,CIO NovaPort TRIOⅡ 140W PD急速充電器 USB-C×3 PD3.1 3台同時充電 世界最小級（ホワイト）,CIO,CIO,パソコン・周辺機器 > PCアクセサリ・サプライ > ノートパソコンアクセサリ,4884,2,株式会社CIO / オールズマーケットweb支店,メーカー直販,12980,はい,2026-02-23以降,4695,6329,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DK79VFWN,
A,B0GCNXP689,集音器 高齢者 しゅうおんき【2026進化版！革命的なデジタルチップ&高性能BA型スピーカー搭載！無段階音量調整】35倍増幅 AI自動降噪,Yaotin,Yaotin,ホーム＆キッチン > 家電 > 健康家電,3161,2,Yaotin-JP / Yaotin Store,メーカー直販,6849,はい,2026-02-23以降,4269,5349,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GCNXP689,
A,B0FDL5GPR5,水月雨 Moondrop Pill オープンイヤー型ワイヤレスイヤホン イヤーカフ イヤホン オープンイヤー ワイヤレス Bluetooth 6.0,Moondrop,Moondrop,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,4398,2,e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】 / 水月雨(MOONDROP)公式ストア,メーカー直販,6750,はい,2026-02-23以降,3485,4719,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FDL5GPR5,
B,B0GJ3S68KD,Android 16 タブレット 11インチ Wi-Fiモデル Headwolf WPad7、In-Cell 1920x1200 FHD、8000mAh、8コア,Headwolf,Headwolf,パソコン・周辺機器 > タブレット,8585,2,Headwolf 直営店 / Headwolf HBY公式ストア,メーカー直販,16999,いいえ,2026-02-23以降,10717,14793,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GJ3S68KD,
A,B0DHBTXVBF,サンワダイレクト リングマウス Bluetooth ホイール搭載 USB-C充電 PowerPoint・Keynote操作対応 Windows/Mac 5ボタン,サンワダイレクト,サンワダイレクト,パソコン・周辺機器 > キーボード・マウス・入力機器 > マウス,3419,2,サンワサプライ直営【サンワダイレクト】14時までの注文は国内から当日出荷≪土日も出荷中≫ / スバコカンパニー,メーカー直販,5900,はい,2026-02-23以降,3316,4479,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DHBTXVBF,
