preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,月間ドロップ数,月間販売数,新品オファー数,実セラー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),過去最安値(送料込・2026-02-23以降),参考_365日最安(価格定義混在),価格定義混在,採用窓,窓差率%,損益分岐仕入れ値,損益分岐仕入れ値_精緻,仕入れ掛け率上限%,想定月販,消化月数,消化月数_ロット5,分母の根拠,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ
A,B0GJSPJ661,プラネタリウム 家庭用 スタープロジェクター 月 オーロラ 15種類光 USB充電式 Bluetooth 音楽再生 パーティー 睡眠グッズ リモコン,Cambink,CAMBINK,家電＆カメラ > テレビ・レコーダー > ホームプロジェクター,4006,43,400,2,2,ORIENTEC / SOUNDGIC-JP,,4179,3940,3940,はい,2026-02-23以降,0.0,2279,2908,54.5,14.33,0.7,0.35,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GJSPJ661
B,B0DK79LN9H,CIO NovaPort TRIOⅡ 140W PD急速充電器 USB-C×3 PD3.1 3台同時充電 世界最小級（ブラック）,CIO,CIO,パソコン・周辺機器 > PCアクセサリ・サプライ > ノートパソコンアクセサリ,4884,43,100,2,2,株式会社CIO / オールズマーケットweb支店,メーカー直販,11800,8956,8956,はい,2026-02-23以降,0.0,5539,7523,46.9,14.33,0.7,0.35,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DK79LN9H
A,B0D86XCN4G,iClever ゲーミングキーボード テンキーレス 赤軸 メカニカル キーボード 日本語配列 マクロ対応 G06 ブラック,iClever,iClever,パソコン・周辺機器 > キーボード・マウス・入力機器 > ゲーミングキーボード,1386,42,300,2,2,Thousandshores JP / Thousandshores Direct JP,,3990,3391,3352,はい,2026-02-23以降,1.2,1922,2403,48.2,14.0,0.71,0.36,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0D86XCN4G
A,B0D1VDZ34M,MIATONE Bluetooth スピーカー 360°サウンド 重低音モデル IPX7防水 ワイヤレス お風呂 ブルートゥース スピーカー デュアルパッシブラ,MIATONE,MIATONE,家電＆カメラ > ポータブルオーディオ > ポータブルスピーカー・ドック,7984,42,100,2,2,INNOTECH CORP / MYA-JP,,2759,2759,2759,はい,2026-02-23以降,0.0,1511,1822,54.8,14.0,0.71,0.36,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0D1VDZ34M
A,B0FB9JHXTX,CIO SMARTCOBY TRIO 35W モバイルバッテリー PD USB-C×2 USB-A×1 大容量20000mAh (ホワイト),CIO,CIO,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,3666,42,100,2,2,株式会社CIO / トライアングル*,メーカー直販,4470,4470,4470,はい,2026-02-23以降,0.0,2623,3396,58.7,14.0,0.71,0.36,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FB9JHXTX
B,B0FJY1KB32,"Anker Prime Wireless Charging Station (3-in-1, MagGo, AirCool, Dock Stand)",Anker,Anker,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,5804,42,50,2,2,AnkerDirect / 【インボイス対応】フローレッド,メーカー直販,17990,15990,15990,はい,2026-02-23以降,0.0,10061,13864,55.9,14.0,0.71,0.36,実セラー数,標準2,332,大手/海外疑い,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FJY1KB32
A,B0GF295GM5,骨伝導イヤホン マイク付き、Kemeskin ビジネス 通話専用ヘッドセットBluetooth 6.1、ENC DSP高精度ノイズキャンセリングマイク付きイヤホ,Kemeskin,"DongGuan Kemi Electronics Technology Co., Ltd",家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,3340,41,200,3,2,Bestroad chain / zhengzhoujinyuzaishengziyuanhuishou,,5980,5980,5980,はい,2026-02-23以降,0.0,3705,5029,62.0,13.67,0.73,0.37,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GF295GM5
B,B0DK79VFWN,CIO NovaPort TRIOⅡ 140W PD急速充電器 USB-C×3 PD3.1 3台同時充電 世界最小級（ホワイト）,CIO,CIO,パソコン・周辺機器 > PCアクセサリ・サプライ > ノートパソコンアクセサリ,4884,41,50,2,2,株式会社CIO / オールズマーケットweb支店,メーカー直販,12980,7658,7658,はい,2026-02-23以降,0.0,4695,6329,36.2,13.67,0.73,0.37,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DK79VFWN
A,B0GCNXP689,集音器 高齢者 しゅうおんき【2026進化版！革命的なデジタルチップ&高性能BA型スピーカー搭載！無段階音量調整】35倍増幅 AI自動降噪,Yaotin,Yaotin,ホーム＆キッチン > 家電 > 健康家電,3161,40,500,2,2,Yaotin-JP / Yaotin Store,メーカー直販,6849,6849,6849,はい,2026-02-23以降,0.0,4269,5349,62.3,13.33,0.75,0.38,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GCNXP689
A,B0FDL5GPR5,水月雨 Moondrop Pill オープンイヤー型ワイヤレスイヤホン イヤーカフ イヤホン オープンイヤー ワイヤレス Bluetooth 6.0,Moondrop,Moondrop,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,4398,40,100,2,2,e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】 / 水月雨(MOONDROP)公式ストア,メーカー直販,6750,5643,5643,はい,2026-02-23以降,0.0,3485,4719,51.6,13.33,0.75,0.38,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FDL5GPR5
