メーカー/ブランド,該当商品数,想定仕入れ金額の中央値,Amazon価格の中央値,消化月数の中央値,代表ASIN,代表商品名,代表Amazonページ,代表Keepaリンク,メーカー検索(Google),主なカテゴリ,規模フラグ,リスク区分あり件数
Makita(マキタ),4,1605,5910,1,B01B70EAUM,マキタ アルミケース（TD021DS用） 823295-6,https://www.amazon.co.jp/dp/B01B70EAUM,https://keepa.com/#!product/5-B01B70EAUM,https://www.google.com/search?q=Makita%28%E3%83%9E%E3%82%AD%E3%82%BF%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,DIY・工具・ガーデン,中小候補,1
BOIFUN,4,8286,16247,1,B0FH23M456,BOIFUN バイク用スマートモニター【業界初・縦横表示切替対応・ 6.25インチ大画面】Carplay/Android Auto対応・ バイク用モニター スマホ連携 バイク用ナビ,https://www.amazon.co.jp/dp/B0FH23M456,https://keepa.com/#!product/5-B0FH23M456,https://www.google.com/search?q=BOIFUN%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,家電＆カメラ,中小候補,2
KADOKAWA,4,2148,4913,1,B0DM8HBTDR,ちいかわ ふんわりバニティポーチ ちいかわ,https://www.amazon.co.jp/dp/B0DM8HBTDR,https://keepa.com/#!product/5-B0DM8HBTDR,https://www.google.com/search?q=KADOKAWA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,本,中小候補,0
愛知電線,4,1800,6500,1,B00N8AD010,愛知電線 VVF ケーブル3芯 2.0mm 20m 灰色 VVF3×2.0M20,https://www.amazon.co.jp/dp/B00N8AD010,https://keepa.com/#!product/5-B00N8AD010,https://www.google.com/search?q=%E6%84%9B%E7%9F%A5%E9%9B%BB%E7%B7%9A%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,産業・研究開発用品,中小候補,0
コナミデジタルエンタテインメント(Konami Digital Entertainment),4,4511,12890,1,B08ZZDL8J4,eBASEBALLプロ野球スピリッツ2021 グランドスラム,https://www.amazon.co.jp/dp/B08ZZDL8J4,https://keepa.com/#!product/5-B08ZZDL8J4,https://www.google.com/search?q=%E3%82%B3%E3%83%8A%E3%83%9F%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%28Konami%20Digital%20Entertainment%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,ゲーム,中小候補,0
ワーナー・ブラザース・ホームエンターテイメント,4,6456,10990,1,B076H6J8LS,マッドマックス 怒りのデス・ロード<ブラック&クローム>エディション ブルーレイ スチールブック仕様(数量限定生産/2枚組) [Blu-ray],https://www.amazon.co.jp/dp/B076H6J8LS,https://keepa.com/#!product/5-B076H6J8LS,https://www.google.com/search?q=%E3%83%AF%E3%83%BC%E3%83%8A%E3%83%BC%E3%83%BB%E3%83%96%E3%83%A9%E3%82%B6%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%86%E3%82%A4%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,DVD,大手/海外疑い,0
BURTLE,4,4326,9466,2,B0DZ658W2B,[バートル] BURTLE バッテリー 2025年モデル エアークラフト AIRCRAFT 京セラ製 24Vリチウムイオンバッテリー 空調作業服 AC09 78 マットブラック,https://www.amazon.co.jp/dp/B0DZ658W2B,https://keepa.com/#!product/5-B0DZ658W2B,https://www.google.com/search?q=BURTLE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,産業・研究開発用品,大手/海外疑い,2
すごろくや,4,334,1544,2,B01B7QHIGO,すごろくや ナンジャモンジャ・シロ 2人 - 6人 4歳 15分 命名 記憶 反射神経 パーティー 子供向け ボードゲーム,https://www.amazon.co.jp/dp/B01B7QHIGO,https://keepa.com/#!product/5-B01B7QHIGO,https://www.google.com/search?q=%E3%81%99%E3%81%94%E3%82%8D%E3%81%8F%E3%82%84%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,おもちゃ,中小候補,0
Hoxhyon,4,2325,5261,2,B0FM3NXDVN,Hoxhyon デスクライト LED クランプ式「PSE認証済」卓上ライト 電気スタンド 目に優しい デスクスタンド デスクランプ テーブルライト,https://www.amazon.co.jp/dp/B0FM3NXDVN,https://keepa.com/#!product/5-B0FM3NXDVN,https://www.google.com/search?q=Hoxhyon%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,ホーム＆キッチン,中小候補,4
Lexar,4,5040,9165,2,B09MSSPFWY,Lexar SDカード Professional 1800x SDXCカード 最大読込280MB/秒 書込210MB/秒 UHS-II Class 10 U3 V60 4K Ult,https://www.amazon.co.jp/dp/B09MSSPFWY,https://keepa.com/#!product/5-B09MSSPFWY,https://www.google.com/search?q=Lexar%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パソコン・周辺機器,中小候補,4
HAGOOGI,4,3992,7978,2,B0GHMZZ5NQ,【2026新登場】HAGOOGI ランタン ledランタン 人感センサーライト Type-C充電式 キャンプ ランタン 小型 軽量 一台多役,https://www.amazon.co.jp/dp/B0GHMZZ5NQ,https://keepa.com/#!product/5-B0GHMZZ5NQ,https://www.google.com/search?q=HAGOOGI%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,スポーツ＆アウトドア,中小候補,1
Razer(レイザー),4,7198,15597,2,B09923WB4R,Razer BlackShark V2 Special Edition ゲーミングヘッドセット Black/Green USBサウンドカード付 USB 3.5mmアナログ THX ,https://www.amazon.co.jp/dp/B09923WB4R,https://keepa.com/#!product/5-B09923WB4R,https://www.google.com/search?q=Razer%28%E3%83%AC%E3%82%A4%E3%82%B6%E3%83%BC%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パソコン・周辺機器,中小候補,2
HEIBAS,3,769,1998,1,B0FPQP6T6V,ヘッドセット bluetooth 108超長時間再生【2026至高のBluetooth 6.0チープ搭載】物理操作ボタン ハンズフリー通話,https://www.amazon.co.jp/dp/B0FPQP6T6V,https://keepa.com/#!product/5-B0FPQP6T6V,https://www.google.com/search?q=HEIBAS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,家電＆カメラ,中小候補,3
KIOXIA,3,2126,12027,1,B0BSN6H7HY,USBフラッシュメモリ 64GB USB 3.2 Gen 1 KIOXIA TransMemory U366 薄型 スタイリッシュ メタリックボディ [並行輸入品],https://www.amazon.co.jp/dp/B0BSN6H7HY,https://keepa.com/#!product/5-B0BSN6H7HY,https://www.google.com/search?q=KIOXIA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パソコン・周辺機器,中小候補,3
Yaizk,3,623,1706,1,B0B8GTG8RP,2026年改良モデル 室内アンテナ テレビアンテナ 地デジアンテナ 4KHD 530KM受信範囲 最強 信号ブースター内蔵 UHF/VHF対応,https://www.amazon.co.jp/dp/B0B8GTG8RP,https://keepa.com/#!product/5-B0B8GTG8RP,https://www.google.com/search?q=Yaizk%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,家電＆カメラ,中小候補,3
Runbod,3,391,1599,1,B07SGBYB6Z,sata usb 変換ケーブル 3.5/2.5インチ SSD HDD SATA USB変換アダプター SATA3 USB3.0 変換ケーブル 電源アダプター付 Windows10/,https://www.amazon.co.jp/dp/B07SGBYB6Z,https://keepa.com/#!product/5-B07SGBYB6Z,https://www.google.com/search?q=Runbod%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パソコン・周辺機器,中小候補,2
CPWORLD,3,958,2844,1,B0FD336CDZ,電動ドライバー 小型軽量 Type-C充電式 ドライバー 電動工具 超硬S2鋼採用 正逆転切り替え TPE製滑り止めシェル 高輝度LEDライト 14本付ビットセット DIY用 家庭,https://www.amazon.co.jp/dp/B0FD336CDZ,https://keepa.com/#!product/5-B0FD336CDZ,https://www.google.com/search?q=CPWORLD%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,DIY・工具・ガーデン,中小候補,2
GADEBAO,3,1223,2557,1,B08QMQGLDM,USB C HDMI 変換アダプタ 4K@60Hz 2-in-1 USB Type C デュアル HD MI ハブ 2ポート拡張 マルチディスプレイ 3画面 hdmi 拡張モード対,https://www.amazon.co.jp/dp/B08QMQGLDM,https://keepa.com/#!product/5-B08QMQGLDM,https://www.google.com/search?q=GADEBAO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パソコン・周辺機器,中小候補,3
